,uf_unique_,stop_id,name,operator,mode,direction,route_id,related_ro,related__1,related__2,headway_av,headway__1,headway__2,headway__3,hourly_arr,hourly_a_1,hourly_a_2,hourly_a_3,total_arri,total_ar_1,geometry_k,geometry
0,f-9q9-scmtdcom_532,1539R,Hwy 9 & Shadowbrook Rd,Santa Cruz Metro,Bus,0,35A,35A,SLV via Scotts Valley Drive,35A0039,,,,,,,,,1.0,1.0,c97fe685eeecf501,POINT (-122.084435 37.081261)
1,f-9q9-scmtdcom_568,1556R,Hwy 9 & Irwin Way,Santa Cruz Metro,Bus,1,35,35,San Lorenzo Valley (SLV),350070,,,,,,,0.06,,1.0,,2fb2621d462b2f4e,POINT (-122.11441 37.111294)
2,f-9q9-scmtdcom_744,1713R,River (River/Front Garage),Santa Cruz Metro,Bus,0,66,66,Live Oak via 17th,660010,,,,,,,0.06,,1.0,,6b7d1c663eee3192,POINT (-122.025192 36.976425)
3,f-9q9-scmtdcom_1259,2175R,17th Ave & Felt,Santa Cruz Metro,Bus,1,66,66,Live Oak via 17th,660011,,,,,0.5,,0.06,,1.0,,95b4d0418ff76944,POINT (-121.985222 36.967182)
4,f-9q9-scmtdcom_1295,2212R,Herman Ave & Kralj Dr,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,67d232d7b56ee5f1,POINT (-121.784691 36.923138)
5,f-9q9-scmtdcom_1296,2214R,Anna & Herman Ave,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,12d0337fcded7b6d,POINT (-121.785263 36.925499)
6,f-9q9-scmtdcom_1504,2505R,Hwy 9 & Brimblecom Rd,Santa Cruz Metro,Bus,1,35,35,San Lorenzo Valley (SLV),350070,,,,,,,0.06,,1.0,,2dd061c75ec68c1b,POINT (-122.131935 37.142136)
7,f-9q9-scmtdcom_1505,2505R,Hwy 9 & Brimblecom Rd,Santa Cruz Metro,Bus,0,35A,35A,SLV via Scotts Valley Drive,35A0039,,,,,,,,,1.0,1.0,2dd061c75ec68c1b,POINT (-122.131935 37.142136)
8,f-9q9-scmtdcom_18,1001R,Airport Blvd & Airport Rd,Santa Cruz Metro,Bus,0,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0005,60.0,49.0,59.36,59.36,1.0,1.0,0.75,0.75,12.0,12.0,3f15826642058ccb,POINT (-121.782814 36.934383)
9,f-9q9-scmtdcom_19,1002R,Airport Blvd (Airport),Santa Cruz Metro,Bus,1,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0006,60.0,,60.18,60.2,1.0,0.5,0.75,0.69,12.0,11.0,9f5bbcf6f70f1ca4,POINT (-121.783485 36.934322)
10,f-9q9-scmtdcom_20,1005R,Airport Blvd & Holm Rd,Santa Cruz Metro,Bus,1,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0006,60.0,,60.18,60.2,1.0,0.5,0.75,0.69,12.0,11.0,bc442d51c8353893,POINT (-121.787842 36.931953)
11,f-9q9-scmtdcom_21,1006R,Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710011,,54.5,59.69,73.27,0.5,1.5,0.88,0.75,14.0,12.0,ef1939fdecb8ea38,POINT (-121.77655 36.939846)
12,f-9q9-scmtdcom_22,1006R,Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710027,60.0,49.0,59.64,71.5,1.0,1.0,0.94,0.69,17.0,13.0,ef1939fdecb8ea38,POINT (-121.77655 36.939846)
13,f-9q9-scmtdcom_23,1006R,Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,ef1939fdecb8ea38,POINT (-121.77655 36.939846)
14,f-9q9-scmtdcom_24,1006R,Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,75,75,Green Valley,750008,60.0,60.0,60.17,70.2,1.0,1.0,0.81,0.69,14.0,11.0,ef1939fdecb8ea38,POINT (-121.77655 36.939846)
15,f-9q9-scmtdcom_25,1006R,Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.75,,,,0.31,,5.0,ef1939fdecb8ea38,POINT (-121.77655 36.939846)
16,f-9q9-scmtdcom_26,1015R,Amesti Rd & Green Valley Rd (Amesti School),Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,95d8fce26d48e71e,POINT (-121.767708 36.946316)
17,f-9q9-scmtdcom_27,1015R,Amesti Rd & Green Valley Rd (Amesti School),Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.75,,,,0.31,,5.0,95d8fce26d48e71e,POINT (-121.767708 36.946316)
18,f-9q9-scmtdcom_28,1020R,Amesti Rd & Mann Ave,Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,348348586da70c15,POINT (-121.781731 36.956173)
19,f-9q9-scmtdcom_29,1020R,Amesti Rd & Mann Ave,Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.75,,,,0.31,,5.0,348348586da70c15,POINT (-121.781731 36.956173)
20,f-9q9-scmtdcom_30,1026R,Amesti Rd & Bollinger Pl,Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,9044478bc708963c,POINT (-121.793793 36.967934)
